Código,Região,UF,nome_meso,nome_micro,Município,IFDM,Educação,Emprego e Renda,Saúde,desenvolvimento
110040,Norte,RO,Leste Rondoniense,Ariquemes,ALTO PARAÍSO,0.5196712109651063,0.62209816115947,0.3123357512887234,0.6245797204471256,Regular
110045,Norte,RO,Madeira-Guaporé,Porto Velho,BURITIS,0.6399638278837232,0.6657500041647926,0.4486578817960135,0.8054835976903637,Moderado
110050,Norte,RO,Leste Rondoniense,Cacoal,NOVO HORIZONTE DO OESTE,0.6187536556986118,0.7258811959566436,0.4477381449195866,0.6826416262196054,Moderado
110060,Norte,RO,Leste Rondoniense,Ariquemes,CACAULÂNDIA,0.576414504380364,0.6904299523424153,0.2713060939555277,0.7675074668431491,Regular
110070,Norte,RO,Madeira-Guaporé,Porto Velho,CAMPO NOVO DE RONDÔNIA,0.5967222652129296,0.6592319524575028,0.3981788720013279,0.7327559711799584,Regular
110080,Norte,RO,Madeira-Guaporé,Porto Velho,CANDEIAS DO JAMARI,0.5379801146253768,0.6426157505148843,0.2714547931157424,0.6998698002455037,Regular
110090,Norte,RO,Leste Rondoniense,Cacoal,CASTANHEIRAS,0.5352999431531478,0.6255446730416305,0.3055727668862244,0.6747823895315883,Regular
110092,Norte,RO,Leste Rondoniense,Vilhena,CHUPINGUAIA,0.6670335171774291,0.7156765443019313,0.4908974672624232,0.7945265399679327,Moderado
110094,Norte,RO,Madeira-Guaporé,Porto Velho,CUJUBIM,0.5056530222435037,0.6215109431332341,0.2255065416112292,0.6699415819860479,Regular
110100,Norte,RO,Leste Rondoniense,Ji-Paraná,GOVERNADOR JORGE TEIXEIRA,0.5504114047561054,0.6653231453098545,0.2196452434508241,0.7662658255076378,Regular
110110,Norte,RO,Madeira-Guaporé,Porto Velho,ITAPUÃ DO OESTE,0.6121421236408708,0.6254761107798367,0.4826737223221439,0.728276537820632,Moderado
110120,Norte,RO,Leste Rondoniense,Cacoal,MINISTRO ANDREAZZA,0.646603336218257,0.746482482545257,0.3828665362244892,0.810460989885025,Moderado
110130,Norte,RO,Leste Rondoniense,Ji-Paraná,MIRANTE DA SERRA,0.6123965701613163,0.7121956048004171,0.3721633506965157,0.7528307549870163,Moderado
110140,Norte,RO,Leste Rondoniense,Ariquemes,MONTE NEGRO,0.5632698430384165,0.6370097316811959,0.2774990840949408,0.775300713339113,Regular
110143,Norte,RO,Leste Rondoniense,Ji-Paraná,NOVA UNIÃO,0.5351787734349551,0.6566797944945588,0.2399875131851213,0.7088690126251852,Regular
110145,Norte,RO,Leste Rondoniense,Vilhena,PARECIS,0.6427545542465446,0.6489217870634492,0.4449962517480479,0.8343456239281368,Moderado
110146,Norte,RO,Leste Rondoniense,Colorado do Oeste,PIMENTEIRAS DO OESTE,0.71523264584892,0.7201995201079494,0.6379769273301403,0.7875214901086702,Moderado
110147,Norte,RO,Leste Rondoniense,Vilhena,PRIMAVERA DE RONDÔNIA,0.6820892160736476,0.7805057157998334,0.3876940131934813,0.8780679192276281,Moderado
110148,Norte,RO,Leste Rondoniense,Vilhena,SÃO FELIPE D'OESTE,0.6567335713840264,0.7369953277971306,0.3784846180589814,0.8547207682959673,Moderado
110149,Norte,RO,Madeira-Guaporé,Guajará-Mirim,SÃO FRANCISCO DO GUAPORÉ,0.6111244613869664,0.7117844689838984,0.3452027595511126,0.7763861556258882,Moderado
110150,Norte,RO,Leste Rondoniense,Alvorada D'Oeste,SERINGUEIRAS,0.6122998290000731,0.7082257247396566,0.3864579045233724,0.7422158577371903,Moderado
110155,Norte,RO,Leste Rondoniense,Ji-Paraná,TEIXEIRÓPOLIS,0.65732116737781,0.7543870218728324,0.4702059105813265,0.7473705696792712,Moderado
110160,Norte,RO,Leste Rondoniense,Ji-Paraná,THEOBROMA,0.5876280812022034,0.732201642405596,0.2661689864375021,0.7645136147635122,Regular
110170,Norte,RO,Leste Rondoniense,Ji-Paraná,URUPÁ,0.6355288157731906,0.6994255040859318,0.3829470600426179,0.8242138831910222,Moderado
110175,Norte,RO,Leste Rondoniense,Ariquemes,VALE DO ANARI,0.5787249229031955,0.6885798344585805,0.357916494346581,0.6896784399044252,Regular
110180,Norte,RO,Leste Rondoniense,Ji-Paraná,VALE DO PARAÍSO,0.5619754409457176,0.6999830670434429,0.3118198874867494,0.6741233683069607,Regular
120001,Norte,AC,Vale do Acre,Rio Branco,ACRELÂNDIA,0.6127535000673985,0.7124990410433448,0.3655497247486132,0.7602117344102374,Moderado
120005,Norte,AC,Vale do Acre,Brasiléia,ASSIS BRASIL,0.0,0.5437804040535132,0.0,0.4859741566387289,Baixo
